rating,tanggal
10.0,2023-08-30
10.0,2023-07-25
10.0,2023-07-10
10.0,2023-04-26
10.0,2023-01-14
10.0,2022-11-03
10.0,2021-10-24
10.0,2021-09-28
10.0,2021-09-24
10.0,2021-09-17
10.0,2023-08-30
10.0,2023-07-25
10.0,2023-07-10
10.0,2023-04-26
10.0,2023-01-14
10.0,2022-11-03
10.0,2021-10-24
10.0,2021-09-28
10.0,2021-09-24
10.0,2021-09-17
10.0,2021-09-17
9.7,2023-06-19
9.7,2023-06-09
9.7,2023-05-17
9.7,2023-05-08
9.7,2022-12-31
9.7,2022-10-31
9.7,2022-10-10
9.7,2022-10-07
9.7,2022-08-21
10.0,2021-09-17
9.7,2023-06-19
9.7,2023-06-09
9.7,2023-05-17
9.7,2023-05-08
9.7,2022-12-31
9.7,2022-10-31
9.7,2022-10-10
9.7,2022-10-07
9.7,2022-08-21
9.7,2022-07-29
9.7,2022-07-13
9.7,2022-07-12
9.7,2022-07-03
9.7,2022-06-12
9.7,2022-05-09
9.7,2022-05-04
9.7,2022-04-03
9.7,2022-03-03
9.7,2022-02-28
9.7,2022-07-29
9.7,2022-07-13
9.7,2022-07-12
9.7,2022-07-03
9.7,2022-06-12
9.7,2022-05-09
9.7,2022-05-04
9.7,2022-04-03
9.7,2022-03-03
9.7,2022-02-28
9.7,2022-02-26
9.7,2022-02-13
9.7,2022-02-12
9.7,2022-01-10
9.7,2021-12-29
9.7,2021-12-06
9.7,2021-11-22
9.7,2021-09-30
9.7,2021-09-26
9.6,2022-07-17
9.7,2022-02-26
9.7,2022-02-13
9.7,2022-02-12
9.7,2022-01-10
9.7,2021-12-29
9.7,2021-12-06
9.7,2021-11-22
9.7,2021-09-30
9.7,2021-09-26
9.6,2022-07-17
9.4,2023-07-26
9.4,2023-06-06
9.4,2023-05-28
9.4,2023-05-26
9.4,2023-03-23
9.4,2022-09-02
9.4,2022-06-24
9.4,2022-06-01
9.4,2022-03-07
9.4,2022-03-04
9.4,2023-07-26
9.4,2023-06-06
9.4,2023-05-28
9.4,2023-05-26
9.4,2023-03-23
9.4,2022-09-02
9.4,2022-06-24
9.4,2022-06-01
9.4,2022-03-07
9.4,2022-03-04
9.4,2022-01-29
9.4,2021-12-05
9.4,2021-11-29
9.3,2023-04-10
9.3,2023-03-05
9.3,2022-07-17
9.3,2022-04-18
9.3,2021-12-14
9.2,2023-09-04
9.1,2023-05-22
9.4,2022-01-29
9.4,2021-12-05
9.4,2021-11-29
9.3,2023-04-10
9.3,2023-03-05
9.3,2022-07-17
9.3,2022-04-18
9.3,2021-12-14
9.2,2023-09-04
9.1,2023-05-22
9.1,2023-05-15
9.1,2023-04-19
9.1,2023-01-17
9.1,2023-01-12
9.1,2022-09-08
9.1,2022-03-06
9.1,2021-11-30
9.1,2021-11-30
9.0,2023-04-30
8.8,2023-05-30
9.1,2023-05-15
9.1,2023-04-19
9.1,2023-01-17
9.1,2023-01-12
9.1,2022-09-08
9.1,2022-03-06
9.1,2021-11-30
9.1,2021-11-30
9.0,2023-04-30
