rating,tanggal
10.0,2022-11-18
10.0,2022-11-12
10.0,2022-09-11
10.0,2022-06-20
10.0,2022-03-26
10.0,2022-02-02
10.0,2021-11-22
10.0,2021-10-10
10.0,2021-10-04
9.7,2023-03-05
10.0,2022-11-18
10.0,2022-11-12
10.0,2022-09-11
10.0,2022-06-20
10.0,2022-03-26
10.0,2022-02-02
10.0,2021-11-22
10.0,2021-10-10
10.0,2021-10-04
9.7,2023-03-05
9.7,2023-02-26
9.7,2023-01-01
9.7,2022-10-11
9.7,2022-10-09
9.7,2022-10-02
9.7,2022-09-26
9.7,2022-05-26
9.7,2022-04-25
9.7,2022-04-19
9.7,2022-02-04
9.7,2023-02-26
9.7,2023-01-01
9.7,2022-10-11
9.7,2022-10-09
9.7,2022-10-02
9.7,2022-09-26
9.7,2022-05-26
9.7,2022-04-25
9.7,2022-04-19
9.7,2022-02-04
9.7,2022-01-24
9.7,2022-01-23
9.7,2021-12-12
9.7,2021-10-17
9.7,2021-10-05
9.4,2022-04-03
9.4,2021-11-20
9.1,2022-10-10
8.8,2021-10-01
8.8,2021-09-28
9.7,2022-01-24
9.7,2022-01-23
9.7,2021-12-12
9.7,2021-10-17
9.7,2021-10-05
9.4,2022-04-03
9.4,2021-11-20
9.1,2022-10-10
8.8,2021-10-01
8.8,2021-09-28
8.5,2023-05-10
8.5,2023-02-15
8.5,2023-01-04
8.5,2023-01-02
8.5,2023-01-01
8.5,2022-09-26
8.5,2022-09-18
8.5,2022-02-01
8.5,2022-01-04
8.4,2022-08-01
8.5,2023-05-10
8.5,2023-02-15
8.5,2023-01-04
8.5,2023-01-02
8.5,2023-01-01
8.5,2022-09-26
8.5,2022-09-18
8.5,2022-02-01
8.5,2022-01-04
8.4,2022-08-01
8.0,2023-03-23
6.3,2023-06-03
6.2,2022-06-04
9.7,2022-12-16
9.7,2022-09-27
8.8,2022-05-17
8.5,2022-12-21
10.0,2023-09-04
10.0,2021-10-18
9.7,2023-05-31
8.0,2023-03-23
6.3,2023-06-03
6.2,2022-06-04
9.7,2022-12-16
9.7,2022-09-27
8.8,2022-05-17
8.5,2022-12-21
10.0,2023-09-04
10.0,2021-10-18
9.7,2023-05-31
9.7,2022-02-20
9.7,2022-01-30
9.7,2021-12-04
9.1,2023-03-21
8.5,2023-03-15
8.5,2022-11-12
8.5,2022-09-07
8.5,2022-05-06
8.5,2022-03-25
8.5,2022-03-06
9.7,2022-02-20
9.7,2022-01-30
9.7,2021-12-04
9.1,2023-03-21
8.5,2023-03-15
8.5,2022-11-12
8.5,2022-09-07
8.5,2022-05-06
8.5,2022-03-25
8.5,2022-03-06
8.5,2022-01-26
8.5,2021-12-27
8.5,2021-10-03
8.4,2022-05-14
10.0,2023-08-26
10.0,2023-08-22
10.0,2023-07-22
10.0,2023-07-12
10.0,2023-07-02
10.0,2023-05-24
8.5,2022-01-26
8.5,2021-12-27
8.5,2021-10-03
8.4,2022-05-14
10.0,2023-08-26
10.0,2023-08-22
10.0,2023-07-22
10.0,2023-07-12
10.0,2023-07-02
10.0,2023-05-24
10.0,2023-03-11
10.0,2023-01-05
10.0,2023-01-04
10.0,2022-12-01
10.0,2022-11-10
10.0,2022-10-31
10.0,2022-08-31
10.0,2022-06-15
10.0,2021-09-27
9.7,2023-07-25
10.0,2023-03-11
10.0,2023-01-05
10.0,2023-01-04
10.0,2022-12-01
10.0,2022-11-10
10.0,2022-10-31
10.0,2022-08-31
10.0,2022-06-15
10.0,2021-09-27
9.7,2023-07-25
9.7,2023-07-04
9.7,2023-07-04
9.7,2023-06-12
9.7,2023-06-05
9.7,2023-05-09
9.7,2023-04-30
9.7,2023-04-26
9.7,2023-04-11
9.7,2023-04-02
9.7,2023-03-14
9.7,2023-07-04
9.7,2023-07-04
9.7,2023-06-12
9.7,2023-06-05
9.7,2023-05-09
9.7,2023-04-30
9.7,2023-04-26
9.7,2023-04-11
9.7,2023-04-02
9.7,2023-03-14
9.7,2023-03-01
9.7,2023-02-17
9.7,2023-01-23
9.7,2023-01-12
9.7,2023-01-09
9.7,2023-01-03
9.7,2022-12-26
9.7,2022-11-20
9.7,2022-11-16
9.7,2022-11-04
9.7,2023-03-01
9.7,2023-02-17
9.7,2023-01-23
9.7,2023-01-12
9.7,2023-01-09
9.7,2023-01-03
9.7,2022-12-26
9.7,2022-11-20
9.7,2022-11-16
9.7,2022-11-04
9.7,2022-10-24
9.7,2022-10-17
9.7,2022-10-17
9.7,2022-10-10
9.7,2022-10-02
9.7,2022-09-26
9.7,2022-08-30
9.7,2022-08-07
9.7,2022-07-31
9.7,2022-06-22
9.7,2022-10-24
9.7,2022-10-17
9.7,2022-10-17
9.7,2022-10-10
9.7,2022-10-02
9.7,2022-09-26
9.7,2022-08-30
9.7,2022-08-07
9.7,2022-07-31
9.7,2022-06-22
9.7,2022-05-27
9.7,2022-05-07
9.7,2022-05-07
9.7,2022-05-07
9.7,2022-04-24
9.7,2022-02-09
9.7,2022-02-03
9.7,2022-01-27
9.7,2022-01-11
9.7,2022-01-01
9.7,2022-05-27
9.7,2022-05-07
9.7,2022-05-07
9.7,2022-05-07
9.7,2022-04-24
9.7,2022-02-09
9.7,2022-02-03
9.7,2022-01-27
9.7,2022-01-11
9.7,2022-01-01
9.7,2021-12-28
9.7,2021-11-17
9.7,2021-11-02
9.7,2021-09-17
9.6,2022-02-08
9.4,2023-05-19
9.4,2022-10-18
9.4,2022-07-06
9.4,2022-05-05
9.4,2022-05-03
9.7,2021-12-28
9.7,2021-11-17
9.7,2021-11-02
9.7,2021-09-17
9.6,2022-02-08
9.4,2023-05-19
9.4,2022-10-18
9.4,2022-07-06
9.4,2022-05-05
9.4,2022-05-03
9.4,2022-01-28
9.4,2021-12-24
9.4,2021-12-13
9.4,2021-10-18
9.1,2023-06-26
9.1,2023-05-19
9.1,2022-10-03
9.1,2022-10-02
9.1,2021-11-07
9.1,2021-09-12
9.4,2022-01-28
9.4,2021-12-24
9.4,2021-12-13
9.4,2021-10-18
9.1,2023-06-26
9.1,2023-05-19
9.1,2022-10-03
9.1,2022-10-02
9.1,2021-11-07
9.1,2021-09-12
9.0,2021-10-29
8.8,2023-08-17
8.8,2023-07-22
8.8,2023-07-08
8.8,2023-04-10
8.8,2022-12-29
8.8,2022-09-21
8.8,2021-11-09
8.7,2022-05-12
8.6,2021-12-05
9.0,2021-10-29
8.8,2023-08-17
8.8,2023-07-22
8.8,2023-07-08
8.8,2023-04-10
8.8,2022-12-29
8.8,2022-09-21
8.8,2021-11-09
8.7,2022-05-12
8.6,2021-12-05
8.5,2023-08-31
8.5,2023-07-14
8.5,2023-07-08
8.5,2023-07-07
8.5,2023-06-08
8.5,2023-05-20
8.5,2023-05-11
8.5,2023-04-29
8.5,2023-04-17
8.5,2023-04-15
8.5,2023-08-31
8.5,2023-07-14
8.5,2023-07-08
8.5,2023-07-07
8.5,2023-06-08
8.5,2023-05-20
8.5,2023-05-11
8.5,2023-04-29
8.5,2023-04-17
8.5,2023-04-15
8.5,2023-03-29
8.5,2023-02-27
8.5,2023-02-10
8.5,2023-01-29
8.5,2022-12-31
8.5,2022-12-14
8.5,2022-12-01
8.5,2022-11-27
8.5,2022-11-23
8.5,2022-11-18
8.5,2023-03-29
8.5,2023-02-27
8.5,2023-02-10
8.5,2023-01-29
8.5,2022-12-31
8.5,2022-12-14
8.5,2022-12-01
8.5,2022-11-27
8.5,2022-11-23
8.5,2022-11-18
8.5,2022-11-08
8.5,2022-11-02
8.5,2022-10-21
8.5,2022-09-26
8.5,2022-09-12
8.5,2022-09-04
8.5,2022-08-22
8.5,2022-08-20
8.5,2022-08-16
8.5,2022-08-01
8.5,2022-11-08
8.5,2022-11-02
8.5,2022-10-21
8.5,2022-09-26
8.5,2022-09-12
8.5,2022-09-04
8.5,2022-08-22
8.5,2022-08-20
8.5,2022-08-16
8.5,2022-08-01
8.5,2022-06-22
8.5,2022-06-05
8.5,2022-06-04
8.5,2022-06-04
8.5,2022-05-23
8.5,2022-05-22
8.5,2022-05-18
8.5,2022-04-11
8.5,2022-03-29
8.5,2022-03-29
8.5,2022-06-22
8.5,2022-06-05
8.5,2022-06-04
8.5,2022-06-04
8.5,2022-05-23
8.5,2022-05-22
8.5,2022-05-18
8.5,2022-04-11
8.5,2022-03-29
8.5,2022-03-29
8.5,2022-03-27
8.5,2022-02-07
8.5,2022-02-04
8.5,2022-01-14
8.5,2022-01-02
8.5,2021-12-28
8.5,2021-12-16
8.5,2021-11-26
8.5,2021-11-22
8.5,2021-11-13
8.5,2022-03-27
8.5,2022-02-07
8.5,2022-02-04
8.5,2022-01-14
8.5,2022-01-02
8.5,2021-12-28
8.5,2021-12-16
8.5,2021-11-26
8.5,2021-11-22
8.5,2021-11-13
8.5,2021-10-22
8.5,2021-10-19
8.5,2021-10-11
8.5,2021-10-03
8.5,2021-09-28
8.4,2022-11-14
8.4,2022-10-30
8.2,2022-10-20
7.1,2022-02-02
7.0,2022-03-14
8.5,2021-10-22
8.5,2021-10-19
8.5,2021-10-11
8.5,2021-10-03
8.5,2021-09-28
8.4,2022-11-14
8.4,2022-10-30
8.2,2022-10-20
7.1,2022-02-02
7.0,2022-03-14
6.9,2023-09-01
6.7,2023-06-25
6.6,2022-11-19
6.5,2022-07-03
6.5,2022-04-27
6.4,2022-07-27
6.3,2023-06-24
6.3,2022-06-27
6.3,2022-03-01
6.3,2021-12-06
6.9,2023-09-01
6.7,2023-06-25
6.6,2022-11-19
6.5,2022-07-03
6.5,2022-04-27
6.4,2022-07-27
6.3,2023-06-24
6.3,2022-06-27
6.3,2022-03-01
6.3,2021-12-06
6.2,2022-05-06
6.2,2022-04-06
6.1,2023-05-12
6.0,2022-07-17
6.0,2022-05-05
6.0,2022-03-23
6.0,2021-11-26
6.0,2021-10-23
5.8,2023-01-07
5.6,2022-11-26
6.2,2022-05-06
6.2,2022-04-06
6.1,2023-05-12
6.0,2022-07-17
6.0,2022-05-05
6.0,2022-03-23
6.0,2021-11-26
6.0,2021-10-23
5.8,2023-01-07
5.6,2022-11-26
5.4,2021-11-07
10.0,2022-01-25
9.7,2023-01-03
9.7,2022-11-13
9.7,2022-10-05
9.7,2022-10-04
9.7,2022-05-07
9.7,2021-09-09
9.4,2023-08-11
9.4,2022-07-09
5.4,2021-11-07
10.0,2022-01-25
9.7,2023-01-03
9.7,2022-11-13
9.7,2022-10-05
9.7,2022-10-04
9.7,2022-05-07
9.7,2021-09-09
9.4,2023-08-11
9.4,2022-07-09
9.4,2021-12-29
9.1,2022-09-12
8.8,2023-04-20
8.8,2022-06-11
8.7,2022-03-30
8.5,2022-12-26
8.5,2022-07-19
8.5,2021-11-23
5.2,2022-03-20
9.7,2023-08-27
9.4,2021-12-29
9.1,2022-09-12
8.8,2023-04-20
8.8,2022-06-11
8.7,2022-03-30
8.5,2022-12-26
8.5,2022-07-19
8.5,2021-11-23
5.2,2022-03-20
9.7,2023-08-27
8.8,2023-01-23
8.8,2022-09-07
8.5,2022-07-19
6.7,2023-08-08
8.8,2023-01-23
8.8,2022-09-07
8.5,2022-07-19
6.7,2023-08-08
